"","STNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","H_MALE","H_FEMALE"
"112","Louisiana",3,1131423,1131423,581639,369417,370488,159532,189180,30002,24068
"113","Louisiana",4,869999,869999,467137,288840,320605,102536,133245,11857,12163
"114","Louisiana",5,167347,167347,103753,49136,77212,12767,24216,2006,3086
"115","Maine",0,1344212,1344212,686100,620751,648575,12353,10338,12046,11654
"116","Maine",1,281158,281158,136855,130606,123544,4308,4270,4152,4013
"117","Maine",2,316589,316589,157207,147740,146018,4402,3357,4354,3768
"118","Maine",3,355557,355557,181829,166061,173777,2584,1980,2412,2503
"119","Maine",4,324784,324784,169942,150966,165744,950,574,962,1090
"120","Maine",5,66124,66124,40267,25378,39492,109,157,166,280
"121","Maryland",0,6045680,6045680,3116815,1749698,1789746,877630,1001015,332730,311092
"122","Maryland",1,1489721,1489721,730290,414505,393838,244405,239347,122672,116606
"123","Maryland",2,1610892,1610892,808336,459285,439336,257402,277061,103818,92393
"124","Maryland",3,1598840,1598840,829448,465181,470087,231674,275334,82172,72754
"125","Maryland",4,1118365,1118365,606905,347278,385697,127588,176640,21340,24693
"126","Maryland",5,227862,227862,141836,63449,100788,16561,32633,2728,4646
"127","Massachusetts",0,6892503,6892503,3546935,2697371,2856794,301425,320477,424659,430248
"128","Massachusetts",1,1558231,1558231,766761,596117,575247,89349,87482,148387,142946
"129","Massachusetts",2,1924545,1924545,963068,737663,732144,99953,99276,149581,140172
"130","Massachusetts",3,1788166,1788166,919906,717282,752848,72659,80538,91157,99463
"131","Massachusetts",4,1327537,1327537,711966,547844,627903,34700,44111,31401,40315
"132","Massachusetts",5,294024,294024,185234,98465,168652,4764,9070,4133,7352
"133","Michigan",0,9986857,9986857,5068329,3920467,3991100,668276,739614,268329,259876
"134","Michigan",1,2407690,2407690,1176541,911806,867435,201551,195079,103443,99659
"135","Michigan",2,2592708,2592708,1276667,1006606,962612,201326,207420,85845,80032
"136","Michigan",3,2529674,2529674,1283501,1021442,1026097,156438,183243,55796,54389
"137","Michigan",4,2042573,2042573,1077602,838261,913083,95613,127876,20462,21767
"138","Michigan",5,414212,414212,254018,142352,221873,13348,25996,2783,4029
"139","Minnesota",0,5639632,5639632,2829821,2351205,2372726,201980,193576,163581,151549
"140","Minnesota",1,1445346,1445346,707228,560036,535340,76107,73077,65817,63712
"141","Minnesota",2,1507360,1507360,739446,613816,587508,66768,62711,53844,47349
"142","Minnesota",3,1401088,1401088,696557,614043,606426,42878,39651,34312,30500
"143","Minnesota",4,1055326,1055326,546700,476374,509400,14829,15909,8530,8648
"144","Minnesota",5,230512,230512,139890,86936,134052,1398,2228,1078,1340
"145","Mississippi",0,2976149,2976149,1533857,868377,889704,528333,596226,55573,44537
"146","Mississippi",1,780487,780487,382911,212553,201312,166794,163566,19584,18680
"147","Mississippi",2,784332,784332,394233,220715,212157,156164,168747,19079,13042
"148","Mississippi",3,736040,736040,382339,223828,223287,121156,149212,12747,8681
